Ad_NH_A,Ad_NH_B,Ad_NH_R,Ad_NH_W,Adj_H_O,Adj_Ppl,CCn-DEM,CCn-REP,CEx-DEM,CEx-REP,Distrct,Precnct
977.0,412.0,216.0,1994.0,150.0,3749.0,1171.0,958.0,965.0,1160.0,2,2402706-028
1194.0,1474.0,339.0,2492.0,374.0,5873.0,2012.0,709.0,1755.0,966.0,1,2402706-029
385.0,925.0,137.0,581.0,588.0,2616.0,611.0,128.0,502.0,168.0,1,2402706-030
179.0,869.0,179.0,738.0,422.0,2387.0,841.0,180.0,750.0,260.0,2,2402706-031
266.0,195.0,91.0,1380.0,118.0,2050.0,664.0,554.0,523.0,683.0,2,2402706-032
299.0,859.0,205.0,1136.0,394.0,2893.0,1105.0,382.0,774.0,502.0,2,2402706-033
535.0,1776.0,254.0,726.0,888.0,4179.0,1198.0,194.0,1015.0,256.0,2,2402706-034
1777.0,1883.0,345.0,1763.0,348.0,6116.0,2362.0,663.0,1808.0,873.0,2,2402706-035
379.0,82.0,81.0,697.0,58.0,1297.0,430.0,319.0,286.0,452.0,3,2402705-024
1238.0,140.0,124.0,1179.0,108.0,2789.0,589.0,413.0,452.0,545.0,3,2402702-026
11.0,20.0,3.0,58.0,7.0,99.0,34.0,12.0,28.0,18.0,1,2402701-019
47.0,31.0,27.0,554.0,18.0,677.0,170.0,195.0,115.0,276.0,1,2402701-020
219.0,593.0,114.0,416.0,95.0,1437.0,419.0,76.0,344.0,133.0,1,2402701-017
925.0,1466.0,217.0,1237.0,436.0,4281.0,1018.0,349.0,951.0,413.0,1,2402701-021
96.0,91.0,16.0,337.0,58.0,598.0,145.0,139.0,124.0,167.0,1,2402701-018
